Femme_Badminton_Simple;;;;
;;;;
Colonnes :;;;;
1: Type;;;;
2: Date;;;;
3: Heure de début;;;;
4: Heure de fin;;;;
5: Localisation;;;;
6: Nationalités / Équipes;;;;
;;;;
#######;;;;
Poules préliminaires;27/07/24;08:30;12:00;Arena Porte de La Chapelle
Poules préliminaires;27/07/24;14:00;17:30;Arena Porte de La Chapelle
Poules préliminaires;27/07/24;19:30;23:00;Arena Porte de La Chapelle
Poules préliminaires;28/07/24;08:30;12:00;Arena Porte de La Chapelle
Poules préliminaires;28/07/24;14:00;17:30;Arena Porte de La Chapelle
Poules préliminaires;28/07/24;19:30;23:00;Arena Porte de La Chapelle
Poules préliminaires;29/07/24;08:30;12:00;Arena Porte de La Chapelle
Poules préliminaires;29/07/24;14:00;17:30;Arena Porte de La Chapelle
Poules préliminaires;29/07/24;19:30;23:00;Arena Porte de La Chapelle
Poules préliminaires;30/07/24;08:30;12:00;Arena Porte de La Chapelle
Poules préliminaires;30/07/24;14:00;17:30;Arena Porte de La Chapelle
Poules préliminaires;30/07/24;19:30;23:00;Arena Porte de La Chapelle
Poules préliminaires;31/07/24;08:30;12:00;Arena Porte de La Chapelle
Poules préliminaires;31/07/24;14:00;17:30;Arena Porte de La Chapelle
Poules préliminaires;31/07/24;19:30;21:00;Arena Porte de La Chapelle
1/8 de finale;01/08/24;18:30;22:00;Arena Porte de La Chapelle
1/4 de finale;03/08/24;08:30;13:00;Arena Porte de La Chapelle
1/2 de finale;04/08/24;08:30;13:00;Arena Porte de La Chapelle
Finale Bronze;05/08/24;09:45;12:30;Arena Porte de La Chapelle
Finale Or;05/08/24;09:45;12:30;Arena Porte de La Chapelle