Homme_Badminton_Simple;;;;;
;;;;;
Colonnes :;;;;;
1: Type;;;;;
2: Date;;;;;
3: Heure de début;;;;;
4: Heure de fin;;;;;
5: Localisation;;;;;
6: Nationalités / Équipes;;;;;
;;;;;
#######;;;;;
badminton;27/07/2024;08:30;12:00;Arena Porte de La Chapelle;Poules préliminaires
badminton;27/07/2024;14:00;17:30;Arena Porte de La Chapelle;Finale
badminton;27/07/2024;19:30;23:00;Arena Porte de La Chapelle;Demi finale
badminton;28/07/2024;08:30;12:00;Arena Porte de La Chapelle;Quart de finale
badminton;28/07/2024;11:00;17:30;Arena Porte de La Chapelle;Demi finale
badminton;28/07/2024;19:30;23:00;Arena Porte de La Chapelle;Quart de finale
badminton;29/07/2024;08:30;12:00;Arena Porte de La Chapelle;Finale
badminton;29/07/2024;14:00;17:30;Arena Porte de La Chapelle;Demi finale
badminton;29/07/2024;19:30;23:00;Arena Porte de La Chapelle;Quart de finale
badminton;30/07/2024;08:30;12:00;Arena Porte de La Chapelle;Demi finale
badminton;30/07/2024;14:00;17:30;Arena Porte de La Chapelle;Poules préliminaires
badminton;30/07/2024;19:30;23:00;Arena Porte de La Chapelle;Poules préliminaires
badminton;31/07/2024;08:30;12:00;Arena Porte de La Chapelle;Poules préliminaires
badminton;31/07/2024;14:00;17:30;Arena Porte de La Chapelle;Poules préliminaires
badminton;31/07/2024;16:00;21:00;Arena Porte de La Chapelle;Poules préliminaires
badminton;01/08/2024;08:30;11:00;Arena Porte de La Chapelle;1/8 de finale
badminton;01/08/2024;13:00;16:30;Arena Porte de La Chapelle;1/8 de finale
badminton;02/08/2024;15:00;22:30;Arena Porte de La Chapelle;1/4 de finale
badminton;04/08/2024;08:30;13:00;Arena Porte de La Chapelle;1/2 de finale
badminton;05/08/2024;14:30;17:30;Arena Porte de La Chapelle;Finale Bronze
badminton;05/08/2024;14:30;17:30;Arena Porte de La Chapelle;Finale Or